Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.4883133;47.2670044;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.4936417;47.2827608;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.4314586;47.2876331;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.4489451;47.2791686;de
Bonstetten;8906;0;Bonstetten;3;ZH;8.4676114;47.3155104;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.5348601;47.2423596;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.5500091;47.2261574;de
Hedingen;8908;0;Hedingen;5;ZH;8.4503469;47.2979377;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.5248498;47.2273670;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.4953541;47.2303874;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.4993818;47.2220332;de
Knonau;8934;0;Knonau;7;ZH;8.4606166;47.2237941;de
Maschwanden;8933;0;Maschwanden;8;ZH;8.4262739;47.2352408;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.4637698;47.2427992;de
Obfelden;8912;0;Obfelden;10;ZH;8.4230450;47.2636269;de
Ottenbach;8913;0;Ottenbach;11;ZH;8.4043446;47.2827713;de
Rifferswil;8911;0;Rifferswil;12;ZH;8.4965289;47.2434780;de
Stallikon;8143;0;Stallikon;13;ZH;8.4909971;47.3258643;de
Uetliberg;8143;2;Stallikon;13;ZH;8.4913449;47.3494790;de
Wettswil;8907;0;Wettswil am Albis;14;ZH;8.4749624;47.3380201;de
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;8.6935763;47.5808715;de
Benken ZH;8463;0;Benken (ZH);22;ZH;8.6540192;47.6527390;de
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;8.5981575;47.5704622;de
Gräslikon;8415;1;Berg am Irchel;23;ZH;8.6052946;47.5573204;de
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;8.6225893;47.5490041;de
Dachsen;8447;0;Dachsen;25;ZH;8.6138626;47.6669723;de
Dorf;8458;0;Dorf;26;ZH;8.6479816;47.5716862;de
Feuerthalen;8245;0;Feuerthalen;27;ZH;8.6410445;47.6909483;de
Langwiesen;8246;0;Feuerthalen;27;ZH;8.6632601;47.6839836;de
Flaach;8416;0;Flaach;28;ZH;8.6028526;47.5733345;de
Flurlingen;8247;0;Flurlingen;29;ZH;8.6278680;47.6841708;de
Andelfingen;8450;0;Andelfingen;30;ZH;8.6785203;47.5948822;de
Henggart;8444;0;Henggart;31;ZH;8.6833141;47.5627039;de
Humlikon;8457;0;Humlikon;32;ZH;8.6695747;47.5756287;de
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;8.6829909;47.5995284;de
Alten;8453;0;Kleinandelfingen;33;ZH;8.6474601;47.5994255;de
Oerlingen;8461;0;Kleinandelfingen;33;ZH;8.6762498;47.6239841;de
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;8.6078443;47.6699444;de
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;8.6343687;47.6710784;de
Marthalen;8460;0;Marthalen;35;ZH;8.6484088;47.6252057;de
Ellikon am Rhein;8464;0;Marthalen;35;ZH;8.5974055;47.6054856;de
Ossingen;8475;0;Ossingen;37;ZH;8.7257644;47.6103401;de
Rheinau;8462;0;Rheinau;38;ZH;8.6033848;47.6439442;de
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;8.7543363;47.5789726;de
Rudolfingen;8465;0;Trüllikon;40;ZH;8.6734172;47.6403617;de
Wildensbuch;8465;1;Trüllikon;40;ZH;8.6794438;47.6505142;de
Trüllikon;8466;0;Trüllikon;40;ZH;8.6922473;47.6372694;de
Truttikon;8467;0;Truttikon;41;ZH;8.7265146;47.6301287;de
Volken;8459;0;Volken;43;ZH;8.6290022;47.5728388;de
Bachenbülach;8184;0;Bachenbülach;51;ZH;8.5464302;47.5035692;de
Bassersdorf;8303;0;Bassersdorf;52;ZH;8.6278388;47.4443085;de
Bülach;8180;0;Bülach;53;ZH;8.5408636;47.5170710;de
Dietlikon;8305;0;Dietlikon;54;ZH;8.6157817;47.4255286;de
Eglisau;8193;0;Eglisau;55;ZH;8.5260379;47.5751800;de
Embrach;8424;0;Embrach;56;ZH;8.5952171;47.5012284;de
Freienstein;8427;2;Freienstein-Teufen;57;ZH;8.5908539;47.5326147;de
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;8.5673847;47.5498910;de
Glattfelden;8192;0;Glattfelden;58;ZH;8.4989448;47.5588097;de
Zweidlen;8192;1;Glattfelden;58;ZH;8.4666628;47.5609235;de
Hochfelden;8182;0;Hochfelden;59;ZH;8.5154701;47.5233584;de
Höri;8181;0;Höri;60;ZH;8.5084407;47.5074239;de
Hüntwangen;8194;0;Hüntwangen;61;ZH;8.4929158;47.5954495;de
Kloten;8302;0;Kloten;62;ZH;8.5843702;47.4525305;de
Lufingen;8426;0;Lufingen;63;ZH;8.5936672;47.4904000;de
Nürensdorf;8309;0;Nürensdorf;64;ZH;8.6492066;47.4479759;de
Oberembrach;8425;0;Oberembrach;65;ZH;8.6174278;47.4874072;de
Glattbrugg;8152;0;Opfikon;66;ZH;8.5681881;47.4338363;de
Opfikon;8152;1;Opfikon;66;ZH;8.5774233;47.4322127;de
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;8.5616753;47.4232475;de
Rafz;8197;0;Rafz;67;ZH;8.5349885;47.6143894;de
Rorbas;8427;3;Rorbas;68;ZH;8.5781192;47.5289800;de
Wallisellen;8304;0;Wallisellen;69;ZH;8.5917945;47.4126764;de
Wasterkingen;8195;0;Wasterkingen;70;ZH;8.4726119;47.5901267;de
Wil ZH;8196;0;Wil (ZH);71;ZH;8.5034955;47.6026831;de
Winkel;8185;0;Winkel;72;ZH;8.5544773;47.4925004;de
Bachs;8164;0;Bachs;81;ZH;8.4390700;47.5250590;de
Boppelsen;8113;0;Boppelsen;82;ZH;8.4025936;47.4705342;de
Buchs ZH;8107;0;Buchs (ZH);83;ZH;8.4381254;47.4588115;de
Dällikon;8108;0;Dällikon;84;ZH;8.4393841;47.4399316;de
Dänikon ZH;8114;0;Dänikon;85;ZH;8.4054052;47.4459431;de
Dielsdorf;8157;0;Dielsdorf;86;ZH;8.4535546;47.4841919;de
Hüttikon;8115;0;Hüttikon;87;ZH;8.3871685;47.4460884;de
Neerach;8173;0;Neerach;88;ZH;8.4745212;47.5134858;de
Niederglatt ZH;8172;0;Niederglatt;89;ZH;8.5035160;47.4874635;de
Niederhasli;8155;0;Niederhasli;90;ZH;8.4838115;47.4823249;de
Nassenwil;8155;1;Niederhasli;90;ZH;8.4714686;47.4657624;de
Oberhasli;8156;0;Niederhasli;90;ZH;8.4982825;47.4654193;de
Niederweningen;8166;0;Niederweningen;91;ZH;8.3689803;47.5041412;de
Oberglatt ZH;8154;0;Oberglatt;92;ZH;8.5207265;47.4766314;de
Oberweningen;8165;2;Oberweningen;93;ZH;8.4073619;47.5037726;de
Otelfingen;8112;0;Otelfingen;94;ZH;8.3871275;47.4619059;de
Regensberg;8158;0;Regensberg;95;ZH;8.4388120;47.4831497;de
Regensdorf;8105;0;Regensdorf;96;ZH;8.4655873;47.4306851;de
Watt;8105;2;Regensdorf;96;ZH;8.4812972;47.4428134;de
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;8.4664981;47.4481390;de
Rümlang;8153;0;Rümlang;97;ZH;8.5327006;47.4516926;de
Schleinikon;8165;3;Schleinikon;98;ZH;8.3915065;47.4980926;de
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;8.4168813;47.5000633;de
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;8.4660771;47.5271434;de
Windlach;8175;0;Stadel;100;ZH;8.4749698;47.5411499;de
Steinmaur;8162;0;Steinmaur;101;ZH;8.4556694;47.4991209;de
Sünikon;8162;1;Steinmaur;101;ZH;8.4359050;47.4907040;de
Weiach;8187;0;Weiach;102;ZH;8.4379031;47.5576207;de
Bäretswil;8344;0;Bäretswil;111;ZH;8.8557785;47.3375353;de
Adetswil;8345;0;Bäretswil;111;ZH;8.8404096;47.3405206;de
Bubikon;8608;0;Bubikon;112;ZH;8.8172255;47.2690093;de
Wolfhausen;8633;0;Bubikon;112;ZH;8.8000873;47.2565581;de
